input,answer,predicted
"the like new condition of the imac mc309ll/a on amazon is at $900+ level only, and it is a quad-core 2.5 ghz cpu (similar to the $799 mini), with radeon hd 6750m 512mb graphic card (this mini is integrated intel 4000 card), and it even comes with wireless apple keyboard and mouse, all put together in neat and nice package.",2,0
not too expense and has enough storage for most users and many ports.,0,2
the power plug has to be connected to the power adaptor to charge the battery but won't stay connected.,2,1
and mine had broke but i sent it in under warranty-no problems.,0,2
"additionally, there is barely a ventilation system in the computer, and even the simple activity of watching videos let alone playing steam games causes the laptop to get very very hot, and in fact impossible to keep on lap.",2,1
i had to get apple customer support to correct the problem.,2,0
"i wanted a computer that was quite, fast, and that had overall great performance.",2,0
"put a ssd and use a 21"" led screen, this set up is silky smooth!",2,0
user upgradeable ram and hdd.,0,2
the latest version does not have a disc drive.,2,1
"the mac mini is about 8x smaller than my old computer which is a huge bonus and runs very quiet, actually the fans aren't audible unlike my old pc",0,2
"there is no hdmi receptacle, nor is there an sd card slot located anywhere on the device.",2,1
i will upgrade the ram myself (because with this model you can you can do it) later on.,0,2
"note, however, that any existing magsafe accessories you have will not work with the magsafe 2 connection.",1,2
"however, the experience was great since the os does not become unstable and the application will simply shutdown and reopen.",0,2
"this mac mini does not have a built-in mic, and it would seem that its mac os 10.9 does not handle external microphones properly.",2,1
"as far as user type - i dabble in everything from games (wow) to photoshop, but nothing professionally.",2,0
the mini's body hasn't changed since late 2010- and for a good reason.,0,2
"the only solution is to turn the brightness down, etc.",2,1
no cd rom in the new version there's no way i'm spending that kind of money on something has less features than the older version.,2,1
this newer netbook has no hard drive or network lights.,2,1
